unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1.59581E+12,2020/7/27 0:00,BNB/USDT,19.58,20.222,18.331,19.792,3493682.1,67367252.45,203720
1.59572E+12,2020/7/26 0:00,BNB/USDT,19.84,20.34,19.112,19.577,2425776.85,47841716.2,149319
1.59564E+12,2020/7/25 0:00,BNB/USDT,19.206,20.081,19.154,19.84,2662190.38,52443320.07,153946
1.59555E+12,2020/7/24 0:00,BNB/USDT,18.764,19.583,18.248,19.204,3673730.88,69605779.61,194316
1.59546E+12,2020/7/23 0:00,BNB/USDT,18.115,18.788,18.056,18.768,2188672.07,40162647.57,125788
1.59538E+12,2020/7/22 0:00,BNB/USDT,17.73,18.133,17.448,18.103,1322551.32,23452404.49,86371
1.59529E+12,2020/7/21 0:00,BNB/USDT,17.482,17.99,17.404,17.737,1532182.84,27190137.41,99984
1.5952E+12,2020/7/20 0:00,BNB/USDT,18.041,18.333,17.249,17.493,2566534.66,45981789.5,127148
1.59512E+12,2020/7/19 0:00,BNB/USDT,17.158,18.141,16.871,18.039,3496898.97,62031802.27,152847
1.59503E+12,2020/7/18 0:00,BNB/USDT,17.071,17.35,16.816,17.156,1330795.71,22754928.16,93390
1.59494E+12,2020/7/17 0:00,BNB/USDT,17.168,17.484,16.95,17.073,1713580.97,29626421.08,121331
1.59486E+12,2020/7/16 0:00,BNB/USDT,17.651,17.798,16.426,17.171,2538439.31,43260557.87,147853
1.59477E+12,2020/7/15 0:00,BNB/USDT,18.088,18.175,17.412,17.648,2184575.72,38784164.4,124134
1.59468E+12,2020/7/14 0:00,BNB/USDT,18.414,18.795,17.7,18.09,2879951.02,52494913.17,156371
1.5946E+12,2020/7/13 0:00,BNB/USDT,18.313,19.069,17.8,18.419,3628616.74,66971810.92,178742
1.59451E+12,2020/7/12 0:00,BNB/USDT,17.64,18.619,17.611,18.312,3517420.62,64204067.68,163738
1.59443E+12,2020/7/11 0:00,BNB/USDT,17.327,17.695,17.023,17.631,1874795.7,32657860.73,116099
1.59434E+12,2020/7/10 0:00,BNB/USDT,16.842,17.37,16.455,17.325,1664970.06,28042853.37,114208
1.59425E+12,2020/7/9 0:00,BNB/USDT,17.291,17.53,16.504,16.844,1905706.54,32199988.85,114778
1.59417E+12,2020/7/8 0:00,BNB/USDT,16.832,17.47,16.597,17.29,2040324.55,34904030.18,109893
1.59408E+12,2020/7/7 0:00,BNB/USDT,16.322,16.9,16.02,16.837,1773432.41,29328518.99,103562
1.59399E+12,2020/7/6 0:00,BNB/USDT,15.503,16.367,15.463,16.324,1083247.77,17172323.68,67772
1.59391E+12,2020/7/5 0:00,BNB/USDT,15.574,15.615,15.116,15.502,504443.13,7776179.014,48606
1.59382E+12,2020/7/4 0:00,BNB/USDT,15.288,15.638,15.251,15.574,435268.81,6720151.656,49538
1.59373E+12,2020/7/3 0:00,BNB/USDT,15.371,15.498,15.26,15.288,401055.73,6171608.744,37198
1.59365E+12,2020/7/2 0:00,BNB/USDT,15.819,15.978,15.065,15.375,979124.16,15243632.54,64105
1.59356E+12,2020/7/1 0:00,BNB/USDT,15.411,15.892,15.329,15.819,719045.93,11254784.36,50199
1.59348E+12,2020/6/30 0:00,BNB/USDT,15.487,15.562,15.272,15.411,452224.78,6978897.982,40570
1.59339E+12,2020/6/29 0:00,BNB/USDT,15.394,15.6,15.203,15.48,593042.75,9141202.727,55627
1.5933E+12,2020/6/28 0:00,BNB/USDT,15.133,15.502,14.866,15.386,499658.43,7616667.365,46640
1.59322E+12,2020/6/27 0:00,BNB/USDT,15.778,15.895,14.701,15.139,676888.5,10417815.41,70321
1.59313E+12,2020/6/26 0:00,BNB/USDT,15.92,15.997,15.587,15.778,527797.39,8319398.078,51109
1.59304E+12,2020/6/25 0:00,BNB/USDT,16.037,16.093,15.444,15.925,717234.89,11389102.24,64785
1.59296E+12,2020/6/24 0:00,BNB/USDT,16.396,16.666,15.955,16.037,914643.91,14876948.14,67865
1.59287E+12,2020/6/23 0:00,BNB/USDT,16.509,16.568,16.291,16.396,547942.9,8997828.74,54732
1.59278E+12,2020/6/22 0:00,BNB/USDT,15.982,16.573,15.962,16.514,604840.29,9861333.439,52945
1.5927E+12,2020/6/21 0:00,BNB/USDT,16.076,16.335,15.936,15.982,443718.08,7146338.656,39539
1.59261E+12,2020/6/20 0:00,BNB/USDT,15.966,16.151,15.688,16.071,555612.11,8869725.009,56262
1.59252E+12,2020/6/19 0:00,BNB/USDT,16.168,16.306,15.9,15.966,609887.35,9810736.645,69539
1.59244E+12,2020/6/18 0:00,BNB/USDT,16.389,16.55,15.878,16.169,658968.53,10727103.61,61438
1.59235E+12,2020/6/17 0:00,BNB/USDT,16.427,16.66,15.966,16.39,732374.44,11993247.16,65677
1.59227E+12,2020/6/16 0:00,BNB/USDT,16.384,16.65,16.153,16.429,611416.87,10025985.17,59850
1.59218E+12,2020/6/15 0:00,BNB/USDT,16.566,16.606,15.404,16.378,1054648.72,16932572.68,94985
1.59209E+12,2020/6/14 0:00,BNB/USDT,16.809,16.819,16.391,16.566,498068.67,8297051.497,51308
1.59201E+12,2020/6/13 0:00,BNB/USDT,16.645,16.822,16.49,16.807,439411.15,7313419.563,49477
1.59192E+12,2020/6/12 0:00,BNB/USDT,16.234,16.822,16.078,16.643,678208.71,11231908.55,72248
1.59183E+12,2020/6/11 0:00,BNB/USDT,17.414,17.536,15.861,16.231,1058267.51,17779382.21,76855
1.59175E+12,2020/6/10 0:00,BNB/USDT,17.382,17.59,17.175,17.419,584324.54,10157678.47,48902
1.59166E+12,2020/6/9 0:00,BNB/USDT,17.453,17.521,17.01,17.383,492253.86,8522583.153,40375
1.59157E+12,2020/6/8 0:00,BNB/USDT,17.416,17.561,17.25,17.453,484372.68,8431853.932,41053
1.59149E+12,2020/6/7 0:00,BNB/USDT,17.567,17.65,16.87,17.415,972665.27,16863876.2,66649
1.5914E+12,2020/6/6 0:00,BNB/USDT,17.691,17.794,17.5,17.567,713949.46,12594954.01,53250
1.59132E+12,2020/6/5 0:00,BNB/USDT,17.525,17.909,17.44,17.686,1258405.64,22247690.9,80497
