code,short_name,provider,history_start_date,currency,type,style,factor,asset_class,region,return_type,inception_date,index_source,return_category,,,,,,
MQCP778E,Macquarie Commodity Risk Premium 10X,Macquarie,2009/8/28,USD,Strategy,Alpha,Multi,Commodity,Global,Excess Return,2020/10/22,Macquarie Bank Limited,-,,,,,,
NMCOLN1,Nomura Nickel 1st to Expire Futures,Nomura,1997/9/8,USD,Strategy,Beta,Multi,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Gross,,,,,,
NMCOTBO1,Nomura Soybean Oil 1st to Expire Trend,Nomura,1971/6/7,USD,Strategy,Alpha,Momentum,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Net,,,,,,
NMCOTHO1,Nomura Heating Oil 1st to Expire Trend,Nomura,1981/2/6,USD,Strategy,Alpha,Momentum,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Net,,,,,,
NMCOTQS1,Nomura Gas Oil 1st to Expire Trend,Nomura,1985/6/7,USD,Strategy,Alpha,Momentum,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Net,,,,,,
code,period,Return p.a.,Cumulative Return,Volatility,Sharpe Ratio,Skew,Kurtosis,Calmar Ratio,Omega Ratio,Sortino Ratio,VaR,MVaR,CVaR,Avg Drawdown,Max Drawdown,Worst 20D,Positive Weeks (%),Positive Months (%),Info Ratio
2014/4/2,368.1852,287.677,471.592,230.716,1154.293,,,,,,,,,,,,,,
2014/4/3,369.0339,289.616,469.517,230.817,1151.848,,,,,,,,,,,,,,
2014/4/4,365.2149,291.128,469.69,230.822,1147.602,,,,,,,,,,,,,,
2014/4/7,364.291,291.52,469.756,230.709,1149.921,,,,,,,,,,,,,,
2014/4/8,363.5889,292.302,470.014,231.085,1148.225,,,,,,,,,,,,,,
2014/4/9,362.186,296.543,471.473,231.281,1145.255,,,,,,,,,,,,,,
2014/4/10,360.3324,303.328,470.358,231.024,1145.642,,,,,,,,,,,,,,
2014/4/11,363.1837,309.007,468.665,230.853,1145.52,,,,,,,,,,,,,,
2014/4/14,361.242,315.886,469.442,232.088,1145.604,,,,,,,,,,,,,,
2014/4/15,362.1512,313.539,472.101,232.333,1146.317,,,,,,,,,,,,,,
2014/4/16,363.3859,317.112,476.064,233.18,1147.459,,,,,,,,,,,,,,
2014/4/17,359.4131,318.356,474.875,233.156,1148.17,,,,,,,,,,,,,,
2014/4/21,362.0629,,,,,,,,,,,,,,,,,,
2014/4/22,358.3406,325.554,471.927,232.915,1146.046,,,,,,,,,,,,,,
2014/4/23,360.1391,326.496,471.003,231.951,1145.007,,,,,,,,,,,,,,
2014/4/24,360.9032,325.945,471.389,233.681,1148.759,,,,,,,,,,,,,,
2014/4/25,362.7106,327.652,472.931,232.223,1145.132,,,,,,,,,,,,,,
2014/4/28,363.3836,322.871,471.231,230.315,1141.698,,,,,,,,,,,,,,
2014/4/29,361.763,322.444,471.835,231.258,1144.848,,,,,,,,,,,,,,
2014/4/30,363.3233,325.554,467.887,229.764,1137.883,,,,,,,,,,,,,,
2014/5/1,366.4382,324.843,463.669,229.195,1136.196,,,,,,,,,,,,,,
2014/5/2,365.8773,324.559,465.058,229.524,1140.425,,,,,,,,,,,,,,
2014/5/5,365.6738,,,,,,,,,,,,,,,,,,
2014/5/6,366.4205,329.447,463.732,228.34,1136.595,,,,,,,,,,,,,,
2014/5/7,367.7491,331.206,462.993,229.672,1137.51,,,,,,,,,,,,,,
2014/5/8,370.2036,344.625,463.383,229.456,1137.5,,,,,,,,,,,,,,
2014/5/9,373.0748,353.411,463.334,229.12,1138.118,,,,,,,,,,,,,,
2014/5/12,374.4004,371.489,463.493,229.376,1138.539,,,,,,,,,,,,,,
2014/5/13,375.6772,372.778,463.135,229.859,1139.239,,,,,,,,,,,,,,
2014/5/14,375.8864,355.448,462.687,230.136,1140.613,,,,,,,,,,,,,,
2014/5/15,373.2914,332.697,463.57,229.914,1140.401,,,,,,,,,,,,,,
2014/5/16,377.8541,337.545,464.194,229.989,1141.056,,,,,,,,,,,,,,
2014/5/19,379.3824,356.745,464.947,229.729,1140.12,,,,,,,,,,,,,,
2014/5/20,379.6477,352.394,466.101,229.93,1139.105,,,,,,,,,,,,,,
2014/5/21,380.9936,346.088,464.251,230.048,1140.69,,,,,,,,,,,,,,
2014/5/22,381.6981,349.676,461.84,230.012,1140.609,,,,,,,,,,,,,,
2014/5/23,382.3194,347.882,465.477,230.051,1140.444,,,,,,,,,,,,,,
2014/5/26,382.0008,,,,,,,,,,,,,,,,,,
2014/5/27,383.4151,346.959,469.125,229.955,1140.324,,,,,,,,,,,,,,
2014/5/28,384.9513,342.856,471.681,229.898,1139.481,,,,,,,,,,,,,,
2014/5/29,383.3168,335.396,473.587,229.816,1139.806,,,,,,,,,,,,,,
2014/5/30,383.7687,341.613,482.059,229.622,1138.496,,,,,,,,,,,,,,
2014/6/2,386.3133,343.3,484.048,229.611,1138.385,,,,,,,,,,,,,,
2014/6/3,386.1263,338.309,483.407,229.666,1138.622,,,,,,,,,,,,,,
2014/6/4,386.535,337.386,468.709,229.879,1138.62,,,,,,,,,,,,,,
2014/6/5,386.8974,337.457,478.762,229.301,1138.572,,,,,,,,,,,,,,
2014/6/6,385.7965,334.544,472.582,229.512,1138.541,,,,,,,,,,,,,,
2014/6/9,388.9169,335.009,466.52,228.986,1135.191,,,,,,,,,,,,,,
2014/6/10,391.8322,332.623,475.07,229.151,1137.935,,,,,,,,,,,,,,
2014/6/11,392.2761,324.206,484.24,228.807,1136.041,,,,,,,,,,,,,,
2014/6/12,391.5239,318.783,482.677,227.984,1132.49,,,,,,,,,,,,,,
2014/6/13,392.851,320.043,463.168,227.977,1131.754,,,,,,,,,,,,,,
2014/6/16,395.0466,330.262,464.128,228.158,1132.192,,,,,,,,,,,,,,
2014/6/17,397.3486,338.618,459.686,228.778,1134.52,,,,,,,,,,,,,,
2014/6/18,398.5835,331.894,454.646,229.605,1136.469,,,,,,,,,,,,,,
2014/6/19,398.7457,328.559,449.195,230.214,1139.318,,,,,,,,,,,,,,
2014/6/20,397.2359,325.897,455.028,230.126,1136.105,,,,,,,,,,,,,,
2014/6/23,399.5987,326.288,448.333,229.027,1130.175,,,,,,,,,,,,,,
2014/6/24,400.5333,321.036,443.401,229.563,1136.984,,,,,,,,,,,,,,
2014/6/25,398.6544,328.896,446.023,228.731,1130.386,,,,,,,,,,,,,,
2014/6/26,398.6529,332.941,445.782,227.663,1126.862,,,,,,,,,,,,,,
2014/6/27,401.3318,335.087,448.087,226.798,1123.816,,,,,,,,,,,,,,
2014/6/30,402.4862,337.128,453.472,225.363,1119.784,,,,,,,,,,,,,,
2014/7/1,407.2232,338.529,453.136,225.502,1119.277,,,,,,,,,,,,,,
2014/7/2,406.9579,347.506,455.535,223.964,1115.629,,,,,,,,,,,,,,
